# time tx ty tz qx qy qz qw
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1.000000 -0.283428 -0.896351 0.340917 -0.010006 0.002330 -0.000420 0.999947
2.000000 -0.217113 -0.616477 1.298661 -0.022528 0.004422 -0.000970 0.999736
3.000000 -0.571295 -1.174048 2.049440 -0.036223 0.008650 0.002041 0.999304
4.000000 -0.586127 -0.672141 2.914234 -0.049175 0.013547 0.007859 0.998667
5.000000 -0.344127 -0.814872 1.954514 -0.064914 0.018362 0.012659 0.997642
6.000000 -0.257653 -1.750101 1.611194 -0.078433 0.023595 0.015841 0.996514
7.000000 0.373178 -1.182628 2.140369 -0.085089 0.024251 0.017697 0.995921
8.000000 -0.370333 -1.758843 1.801005 -0.095066 0.034193 0.026114 0.994541
9.000000 -0.058225 -1.855008 0.855838 -0.102002 0.042846 0.031393 0.993365
10.000000 0.009440 -1.860641 1.853530 -0.104407 0.050169 0.040378 0.992447
11.000000 0.609630 -2.652606 1.965617 -0.122574 0.041459 0.043832 0.990624
12.000000 0.079541 -2.210253 1.242202 -0.106505 0.053905 0.051443 0.991516
13.000000 -0.611184 -1.585897 0.877402 -0.089776 0.069623 0.060150 0.991703
14.000000 -0.247580 -2.499221 0.694014 -0.081580 0.080390 0.061265 0.991528
15.000000 0.060110 -2.774262 -0.216853 -0.053632 0.097215 0.056622 0.992203
16.000000 0.725006 -3.519405 -0.268581 -0.041351 0.105761 0.059444 0.991752
17.000000 1.247822 -4.368422 -0.192202 -0.050006 0.100679 0.050678 0.992368
18.000000 0.680342 -3.871971 0.464687 -0.016929 0.120627 0.049950 0.991296
19.000000 1.290578 -4.547116 0.050210 0.000076 0.132120 0.055474 0.989680
20.000000 0.748919 -3.865680 -0.441979 0.039103 0.154452 0.061347 0.985318
21.000000 0.333047 -3.073758 -0.889090 0.072776 0.174119 0.065548 0.979842
22.000000 0.561135 -3.956045 -1.300849 0.085777 0.187744 0.074279 0.975642
23.000000 0.421609 -3.228784 -0.628819 0.116305 0.199089 0.083967 0.969426
24.000000 0.672106 -4.112743 -1.023618 0.129156 0.205399 0.089628 0.965969
25.000000 -0.013389 -3.422110 -0.793137 0.153638 0.216239 0.092680 0.959712
26.000000 0.387621 -4.249649 -1.186036 0.165247 0.216782 0.098439 0.957083
27.000000 0.139162 -5.160424 -1.515820 0.177000 0.224711 0.102183 0.952751
28.000000 0.589639 -5.873488 -2.053044 0.184869 0.225606 0.105402 0.950692
29.000000 0.737058 -5.200374 -1.328348 0.200821 0.230529 0.100807 0.946766
30.000000 0.736957 -4.265310 -1.682827 0.224135 0.234524 0.098483 0.940778
31.000000 0.296079 -3.379150 -1.825468 0.249658 0.241807 0.094727 0.932860
32.000000 0.332923 -3.351839 -0.826521 0.271101 0.248122 0.094640 0.925193
33.000000 0.138160 -2.515593 -0.313920 0.305052 0.258854 0.091840 0.911868
34.000000 -0.204560 -1.912017 0.405968 0.339363 0.274964 0.087434 0.895312
35.000000 -0.199161 -2.522394 -0.386124 0.281529 0.274261 0.085485 0.915541
36.000000 -0.152431 -3.177280 -1.140406 0.271612 0.285866 0.071951 0.916150
37.000000 -0.407474 -2.858688 -2.053343 0.287705 0.292981 0.071255 0.909016
38.000000 -0.032956 -3.170471 -1.180114 0.305495 0.300814 0.065312 0.901065
39.000000 -0.400456 -2.326888 -1.571663 0.326813 0.304651 0.062828 0.892431
