# frame_id x y z
0 0.000000 0.000000 0.000000
1 -0.283428 -0.896351 0.340917
2 -0.217113 -0.616477 1.298661
3 -0.571295 -1.174048 2.049440
4 -0.586127 -0.672141 2.914234
5 -0.344127 -0.814872 1.954514
6 -0.257653 -1.750101 1.611194
7 0.373178 -1.182628 2.140369
8 -0.370333 -1.758843 1.801005
9 -0.058225 -1.855008 0.855838
10 0.009440 -1.860641 1.853530
11 0.609630 -2.652606 1.965617
12 0.079541 -2.210253 1.242202
13 -0.611184 -1.585897 0.877402
14 -0.247580 -2.499221 0.694014
15 0.060110 -2.774262 -0.216853
16 0.725006 -3.519405 -0.268581
17 1.247822 -4.368422 -0.192202
18 0.680342 -3.871971 0.464687
19 1.290578 -4.547116 0.050210
20 0.748919 -3.865680 -0.441979
21 0.333047 -3.073758 -0.889090
22 0.561135 -3.956045 -1.300849
23 0.421609 -3.228784 -0.628819
24 0.672106 -4.112743 -1.023618
25 -0.013389 -3.422110 -0.793137
26 0.387621 -4.249649 -1.186036
27 0.139162 -5.160424 -1.515820
28 0.589639 -5.873488 -2.053044
29 0.737058 -5.200374 -1.328348
30 0.736957 -4.265310 -1.682827
31 0.296079 -3.379150 -1.825468
32 0.332923 -3.351839 -0.826521
33 0.138160 -2.515593 -0.313920
34 -0.204560 -1.912017 0.405968
35 -0.199161 -2.522394 -0.386124
36 -0.152431 -3.177280 -1.140406
37 -0.407474 -2.858688 -2.053343
38 -0.032956 -3.170471 -1.180114
39 -0.400456 -2.326888 -1.571663
40 -0.636740 -1.435568 -1.958599
41 -0.728429 -2.040203 -2.749806
42 -0.787542 -1.177725 -2.247175
43 -1.141517 -1.011389 -3.167520
44 -1.413842 -0.520385 -3.995018
45 -1.330141 -0.953602 -4.892413
46 -0.998872 -1.132677 -3.966026
47 -1.371693 -1.495661 -4.819986
48 -0.835699 -1.876078 -4.066333
49 -1.127201 -1.125801 -4.659722
50 -1.996785 -0.755455 -4.986322
51 -2.127033 0.124095 -5.443954
52 -2.061346 -0.747445 -4.958050
53 -1.690661 -1.242498 -4.172229
54 -1.016740 -1.777630 -3.662853
55 -0.686329 -2.364918 -2.923988
56 -0.675528 -1.384715 -2.726290
57 -1.060728 -2.279932 -2.950361
58 -1.377759 -1.609622 -3.621313
59 -1.074333 -0.839255 -3.060539
60 -0.633955 -0.434397 -2.259192
61 -0.249654 -0.972035 -1.508687
62 -0.524546 -0.279944 -2.176103
63 -0.845054 0.396981 -2.838709
64 -0.449791 0.191502 -1.943418
65 -0.830208 0.640427 -2.751966
66 -0.640203 -0.336402 -2.850479
67 -0.281032 -1.163930 -2.418978
68 0.081889 -1.205223 -1.488074
69 0.019875 -0.208254 -1.441094
70 0.181397 -1.188054 -1.323182
71 0.550384 -1.266919 -0.397100
72 0.669045 -0.275166 -0.348673
73 1.035226 -0.229107 0.580731
74 0.651676 -1.106406 0.292223
75 0.246811 -1.701457 -0.402039
76 0.195747 -0.707519 -0.304666
77 0.061554 0.154949 -0.792663
78 -0.167085 0.928023 -1.384338
79 0.498178 1.533522 -0.947534
80 1.032063 2.347283 -0.717842
81 1.245759 1.536651 -0.172673
82 1.615541 2.418819 0.118947
83 2.241616 2.731223 0.833393
